Metabolite,Concentration (M),Organism,,,
"2,3-bisphosphoglycerate",2.37E-4,Homo sapiens,,,
AMP,4.23E-5,Homo sapiens,,,
GMP,1.81E-5,Homo sapiens,,,
ADP,5.69E-4,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
phosphoenolpyruvate,1.16E-5,Homo sapiens,,,
UDP,1.33E-4,Homo sapiens,,,
UTP,1.76E-3,Homo sapiens,,,
CTP,8.97E-4,Homo sapiens,,,
GTP,6.77E-4,Homo sapiens,,,
GDP,3.02E-5,Homo sapiens,,,
6-phospho-D-gluconate,1.65E-5,Homo sapiens,,,
"fructose-1,6-bisphosphate",1.52E-3,Homo sapiens,,,
3-phospho-serine,4.40E-4,Mus musculus,,,
dAMP,1.68E-5,Homo sapiens,,,
GMP,1.81E-5,Homo sapiens,,,
dTMP,1.18E-5,Homo sapiens,,,
IMP,1.23E-5,Homo sapiens,,,
UMP,1.45E-5,Homo sapiens,,,
dTMP,1.18E-5,Homo sapiens,,,
AMP,4.23E-5,Mus musculus,,,
inosine,1.33E-6,Homo sapiens,,,
dAMP,1.68E-5,Homo sapiens,,,
GMP,1.81E-5,Homo sapiens,,,
IMP,1.23E-5,Homo sapiens,,,
UMP,1.45E-5,Homo sapiens,,,
dCMP,3.71E-5,Homo sapiens,,,
CMP,1.18E-5,Homo sapiens,,,
"2,3-bisphosphoglycerate",2.37E-4,Homo sapiens,,,
glucose-6-phosphate,6.75E-4,Homo sapiens,,,
cyclic-AMP,1.30E-7,Mus musculus,,,
UDP-N-acetyl-glucosamine,8.97E-3,Homo sapiens,,,
cyclic-AMP,1.30E-7,Mus musculus,,,
UDP-N-acetyl-glucosamine,8.97E-3,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
NADP+,2.84E-5,Homo sapiens,,,
S-adenosyl-L-homocysteine,5.71E-7,Mus musculus,,,
glutathione,3.09E-3,Homo sapiens,,,
glutathione disulfide,1.80E-5,Homo sapiens,,,
glutathione,3.09E-3,Homo sapiens,,,
glutathione disulfide,1.80E-5,Homo sapiens,,,
N-Acetyl-L-alanine,1.03E-5,Homo sapiens,,,
N-acetyl-glutamine,6.24E-6,Homo sapiens,,,
N-Acetyl-L-aspartic acid,2.90E-3,Mus musculus,,,
glutamine,1.72E-2,Homo sapiens,,,
asparagine,2.15E-4,Homo sapiens,,,
arginine,2.55E-4,Homo sapiens,,,
dCMP,3.71E-5,Homo sapiens,,,
GTP,6.77E-4,Mus musculus,,,
AMP,4.23E-5,Homo sapiens,,,
