reaction_id,standard_dGr_prime(kJ/mol),SD(kJ/mol)
ACOAD10m,25.30261021181326,13.603529930114746
ACOAD1fm,30.659365199931983,12.931096076965332
ACOAD8m,13.015085528730708,13.828255653381348
ACOAD9m,31.78347948702401,13.481548309326172
ACOAHi,-29.286799396919825,0.6617729067802429
ACOAO7p,-81.52729797363281,5.504176616668701
ACODA,-27.15393235937549,43.32900238037109
ACONTm,7.773114586058341,0.2903646528720855
ACOX22x,-196.5795745849609,13.835786819458008
ACOX2x,-382.6488952636719,13.47865390777588
ACP1_FMN_,-10.798424809196526,0.4586157500743866
ACRNtm,77.58888014741297,5.002928446629085e-06
ACS2,-8.092962887112549,0.7854567766189575
ACSm,-7.83867735087631,0.3818916976451874
ACSOMT,-5.947314035983611,34.675445556640625
ACSRTNMT,-6.00514991768161,34.675445556640625
ACt2m,18.260417188704213,0.0
ACt2r,-4.565968776008876,0.0
ACtg,-14.580525376039068,0.0
ACTLMO,-446.5901672712117,8.288005828857422
ACTNMO,-393.6302370881287,7.805624961853027
ADA,-47.59484581812209,69.48611450195312
ADAe,-48.73544184306176,69.48611450195312
ADCim,-16.455701387161035,2.495436191558838
ADEt,-5.701641496881416,0.0
ADEtl,48.486846201238,0.0
ADHAPtx,-7.012710494712726,0.0
ADK1m,0.2483980148165585,0.144521415233612
ADK3,-1.3859267717420742,0.1445428729057312
ADK3m,0.2482608783285513,0.144548624753952
ADKd,-1.3880507452224045,0.1445599049329757
ADMDC,-18.7244567761844,42.10665130615234
ADNCYC,2.0881029838987395,1.8783522844314573
ADNK1m,-15.106695853875792,0.36129030585289
ADNt,-14.8347480032867,3.036461066585616e-06
ADNt4,-16.58837980595717,3.036461066585616e-06
ADNtl,126.31963288287318,5.205908564676065e-06
ADNtm,59.3356880673179,4.272460955689894e-06
ADPGLC,-32.74989663444328,0.7818186283111572
ADPMAN,-32.74990807853508,0.7818137407302856
ADPRDPm,-32.299832090435416,0.7817949652671814
ADPRIBt,-18.17361481980777,1.7263348127016798e-05
ADPtx,-17.940855150062486,1.2145844266342465e-05
ADRNCOAtx,-78.11340212449315,5.133759987074882e-05
ADRNCPT1,-1.9424761869379097,1.8221789598464968
ADRNCPT2,1.9473107363160125,1.8221876621246336
ADRNCRNt,223.6360466897745,3.6437533708522096e-05
ADRNLPVESSEC,-7.23362657538005,0.3780795931816101
ADRNt,-37.04525264636371,4.200354669592343e-05
ADSELK,-2.0149359698704146,1.7699226140975952
ADSK,-2.0149261886816987,1.7699241638183594
ADSL1,10.626160682599792,1.139451026916504
ADSL2,23.54507268941397,9.860672950744627
AFLATOXINte,-13.691870294807984,4.0820823414833285e-06
AG13T10g,,
AG13T11g,,
AG13T12g,,
AG13T13g,,
AG13T14g,,
AG13T15g,,
AG13T16g,,
AG13T17g,,
AG13T18g,,
AG13T1g,,
AG13T2g,,
AG13T3g,,
AG13T4g,,
AG13T5g,,
AG13T6g,,
AG13T7g,,
AG13T8g,,
AG13T9g,,
AGLPC,,
AGLPED,,
AGLPET,,
AGLPH,-11.471953488186116,0.5467559695243835
AGLPR,,
AGLPT,,
AGMTm,6.836126492447967,37.49050521850586
AGPAT1,,
AGPex,,
AGPRim,-13.090982484822064,7.675965309143066
AGPSx,,
AGTim,-15.257141837138269,1.28130042552948
AGTix,-15.205486297607422,1.2812999486923218
AHANDROSTANGLCte,16.174783890239503,0.3780750036239624
AHANDROSTANGLCtr,1.8310546465727384e-06,2.654152194736525e-05
AHCYStn,-1.5258789289873675e-06,1.248985790880397e-05
AHCYStr,-1.220703097715159e-06,1.4261867363529744e-05
